name|Зимнівська територіальна громада
region|Волинська область
id|id132
link|http://decentralization.gov.ua/region/common/id/717
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 1 січня 2015 р. у тому числі дітей:|5460
дошкільного віку|537|
шкільного віку|623|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|17
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень,  у тому числі:|5224400
сформованих відповідно до статті 64 Бюджетного кодексу України|2782800|
бюджету розвитку|4800|
базової дотації|2436800|
реверсної дотації|0|
4.|Площа території спроможної територіальної громади, кв. кілометрів|175
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування у тому числі:|40
загальноосвітніх навчальних закладів I—III ступеня|3|
загальноосвітніх навчальних закладів I—II ступеня|1|
загальноосвітніх навчальних закладів I ступеня|4|
дошкільних навчальних закладів|3|
закладів позашкільної освіти|0|
закладів культури|14|
закладів фізичної культури|0|
фельдшерсько-акушерських пунктів|15|
амбулаторій, поліклінік|0|
лікарень|0|
станцій швидкої допомоги|0|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|є
правоохоронної діяльності|є|
реєстрації актів цивільного стану та майнових прав|є|
пенсійного забезпечення|немає|
соціального захисту|є|
пожежної безпеки|є|
казначейського обслуговування|немає|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|є
