name|Шумська територіальна громада
region|Тернопільська область
id|id421
link|http://decentralization.gov.ua/region/common/id/769
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 1 січня 2015 р.  у тому числі дітей:|21297
дошкільного віку|1457|
шкільного віку|2966|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|36
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади,  тис. гривень|195026
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|115318|
бюджету розвитку|1941|
базової дотації|77767|
реверсної дотації||
4.|Площа території спроможної територіальної громади, км²|4995
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі:|
загальноосвітніх навчальних закладів I—III ступеня|7|
загальноосвітніх навчальних закладів I—II ступеня|13|
загальноосвітніх навчальних закладів I ступеня|5|
дошкільних навчальних закладів|3|
закладів позашкільної освіти|2|
закладів культури|41|
закладів фізичної культури|9|
фельдшерсько-акушерських пунктів|32|
амбулаторій, поліклінік|3|
лікарень|1|
станцій швидкої допомоги|0|
6.|Наявність приміщень для розміщення державних органів, установ,  що здійснюють повноваження щодо:|
правоохоронної діяльності|так|
реєстрації актів цивільного стану та майнових прав|так|
пенсійного забезпечення|так|
соціального захисту|так|
пожежної безпеки|так|
казначейського обслуговування|так|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|так
