name|Чкаловська територіальна громада
region|Харківська область
id|id426
link|http://decentralization.gov.ua/region/common/id/1250
0|1
Найменування показника|Значення показника
1. Чисельність населення станом на 1 січня 2015 р.|11598
у тому числі дітей:|1944
дошкільного віку|595
шкільного віку|1349
2. Кількість населених пунктів, що входять до складу спроможної територіальної громади|17
3. Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|155432
у тому числі:|
сформованих відповідно до статті 64 Бюджетного кодексу України|157273
бюджету розвитку|
базової дотації|
реверсної дотації|1841
+,- доход на розвиток громади (3-5.1)|+7488,2
4. Площа території спроможної територіальної громади|21,9265 кв. кілометрів
5. Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|31
у тому числі:|
загальноосвітніх навчальних закладів І-ІІІ ступеня|5
загальноосвітніх навчальних закладів I-II ступеня|1
загальноосвітніх навчальних закладів І ступеня|
дошкільних навчальних закладів|
закладів позашкільної освіти|
закладів культури|13
закладів фізичної культури|
фельдшерсько-акушерських пунктів|2
амбулаторій, поліклінік|4
лікарень станцій швидкої допомоги|
6. Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|в наявності
реєстрації актів цивільного стану та майнових прав|в наявності
пенсійного забезпечення|в наявності
соціального захисту|в наявності
пожежної безпеки|в наявності
казначейського обслуговування|в наявності
7. Наявність приміщень для розміщення органів місцевого самоврядування|в наявності
