name|Кочубеївська територіальна громада
region|Херсонська область
id|id434
link|http://decentralization.gov.ua/region/common/id/768
0|1|2
Найменування показника|Значення показника|
1.|Кількість населення станом на 1 січня 2015 року, в тому числі:|3368
дітей дошкільного віку|192|
дітей шкільного віку|280|
2.|Кількість населених пунктів, що входять до спроможної територіальної громади|14
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади (гривень),  у тому числі|3 961 300,00
сформованих відповідно до  статті 64 Бюджетного кодексу України|3 184 900,0|
бюджет розвитку|-|
базової дотації|776 400,0|
реверсної дотації|-|
4.|Площа території громади, кв. кілометрів|206234
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування,  у тому числі:|28
загальноосвітніх навчальних закладів І-ІІІ ступеня|2|
загальноосвітніх навчальних закладів І-ІІ ступеня|2|
загальноосвітніх навчальних закладів І ступеня|-|
дошкільних начальних закладів|5|
закладів позашкільної освіти|-|
закладів культури|12|
закладів фізичної культури|-|
фельдшерсько-акушерських пунктів|5|
амбулаторій, поліклінік|2|
лікарень|-|
станцій швидкої допомоги|-|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|9 (49 кабінетів)
правоохоронної діяльності|4 (6 кабінети)|
реєстрації актів цивільного стану та майнових прав|1 (2 кабінети)|
пенсійного забезпечення|1 (2 кабінети)|
соціального захисту|1 (2 кабінети)|
пожежної безпеки|1 (2 кабінети)|
казначейського обслуговування|1 (2 кабінети)|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|4 (33 кабінети)
