name|Тавричанська територіальна громада
region|Херсонська область
id|id438
link|http://decentralization.gov.ua/region/common/id/1314
0|1|2|3
село|Громади|Бюджети|Водопостачання
Дудчине|Тавричанська територіальна громада||
Заозерне|Тавричанська територіальна громада||
Любимо-Мар’ївка|Тавричанська територіальна громада||
Любимо-Павлівка|Тавричанська територіальна громада||
Мар’янівка|Тавричанська територіальна громада||
Ольгівка|Тавричанська територіальна громада||
Скворцівка|Тавричанська територіальна громада||
Солідарне|Тавричанська територіальна громада||
Тавричанка|Тавричанська територіальна громада||
