name|Колодяжненська територіальна громада
region|Волинська область
id|id134
link|http://decentralization.gov.ua/region/common/id/1347
0|1|2|3
село|Громади|Бюджети|Водопостачання
Будище|Колодяжненська територіальна громада||
Волошки|Колодяжненська територіальна громада||
Колодяжне|Колодяжненська територіальна громада||
Кричевичі|Колодяжненська територіальна громада||
Ломачанка|Колодяжненська територіальна громада||
Скулин|Колодяжненська територіальна громада||
Стеблі|Колодяжненська територіальна громада||
Уховецьк|Колодяжненська територіальна громада||
Черемошне|Колодяжненська територіальна громада||
