name|Гвардійська територіальна громада
region|Хмельницька область
id|id445
link|http://decentralization.gov.ua/region/common/id/569
0|1|2
Найменування показника|Значення показника|
1.|Чисельність населення станом на 1 січня 2015 р.|6668
у тому числі дітей:|1088|
дошкільного віку|467|
шкільного віку|621|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|11
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|577800000
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|388820000|
бюджету розвитку|4000000|
базової дотації|184980000|
реверсної дотації|----|
4.|Площа території спроможної територіальної громади, кв. кілометрів|1710
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|41
у тому числі:||
загальноосвітніх навчальних закладів I-III ступеня|4|
загальноосвітніх навчальних закладів I-II ступеня|2|
загальноосвітніх навчальних закладів I ступеня|-|
дошкільних навчальних закладів|6|
закладів позашкільної освіти|-|
закладів культури|17|
закладів фізичної культури|-|
фельдшерсько-акушерських пунктів|10|
амбулаторій, поліклінік|1|
лікарень|-|
станцій швидкої допомоги|1|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|в наявності|
реєстрації актів цивільного стану та майнових прав|в наявності|
пенсійного забезпечення|в наявності|
соціального захисту|в наявності|
пожежної безпеки|в наявності|
казначейського обслуговування|в наявності|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|в наявності
