name|Дунаєвецька територіальна громада (міська)
region|Хмельницька область
id|id448
link|http://decentralization.gov.ua/region/common/id/575
0|1|2
Найменування показника|Значення показника|
1.|Чисельність населення станом на 1 січня 2015 р.,|39620
у тому числі дітей:||
дошкільного віку|2840|
шкільного віку|3751|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|51
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|55874900
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|32957100|
бюджету розвитку|14639600|
базової дотації|8278200|
реверсної дотації||
4.|Площа території спроможної територіальної громади, кв. кілометрів|66118
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|150
у тому числі:||
загальноосвітніх навчальних закладів I—III ступеня|16|
загальноосвітніх навчальних закладів I—II ступеня|8|
загальноосвітніх навчальних закладів I ступеня|1|
дошкільних навчальних закладів|29|
закладів позашкільної освіти|1|
закладів культури|55|
закладів фізичної культури|1|
фельдшерсько-акушерських пунктів|32|
амбулаторій, поліклінік|4|
лікарень|1|
станцій швидкої допомоги|2|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|Так|
реєстрації актів цивільного стану та майнових прав|Так|
пенсійного забезпечення|Так|
соціального захисту|Так|
пожежної безпеки|Так|
казначейського обслуговування|Так|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|Так
