name|Дунаєвецька територіальна громада (селищна)
region|Хмельницька область
id|id449
link|http://decentralization.gov.ua/region/common/id/576
0|1|2
Найменування показника|Значення показника|
1.|Чисельність населення станом на 1 січня 2015 р.,|11524
у тому числі дітей:||
дошкільного віку|569|
шкільного віку|1003|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|18
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|17908800
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|10544200|
бюджету розвитку|3939300|
базової дотації|3425300|
реверсної дотації||
4.|Площа території спроможної територіальної громади, кв. кілометрів|26078
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|55
у тому числі:||
загальноосвітніх навчальних закладів I—III ступеня|5|
загальноосвітніх навчальних закладів I—II ступеня|4|
загальноосвітніх навчальних закладів I ступеня||
дошкільних навчальних закладів|10|
закладів позашкільної освіти||
закладів культури|20|
закладів фізичної культури|1|
фельдшерсько-акушерських пунктів|11|
амбулаторій, поліклінік|3|
лікарень||
станцій швидкої допомоги|1|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|в наявності|
реєстрації актів цивільного стану та майнових прав|в наявності|
пенсійного забезпечення|в наявності|
соціального захисту|в наявності|
пожежної безпеки|в наявності|
казначейського обслуговування|в наявності|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|в наявності
