name|Меджибізька територіальна громада
region|Хмельницька область
id|id456
link|http://decentralization.gov.ua/region/common/id/587
0|1
Найменування показника|Значення показника
1.Чисельність населення станом на 1 січня 2015 року,  в тому числі дітей:|8960
дошкільного віку|445
шкільного віку|732
2.Кількість населених пунктів, що входять до складу спроможної територіальної громади|12
3. Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень у тому числі:|124182
сформованих відповідно до статті 64 Бюджетного кодексу України|
бюджету розвитку|12420
базової дотації|25491
реверсної дотації|-
4. Площа спроможної території громади, кв.кілометрів|31939
5.Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування у тому числі:|
загальноосвітніх навчальних закладів І-ІІІ ступеня|5
загальноосвітніх навчальних закладів І-ІІ ступеня|3
загальноосвітніх навчальних закладів І ступеня|-
дошкільних навчальних закладів|8
закладів позашкільної освіти|1
закладів культури|23
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|9
амбулаторій, поліклінік|2
лікарень|-
станцій швидкої допомоги|-
6. Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|1
реєстрації актів громадянського стану та майнових прав|1
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейського обслуговування|1
7.Наявність приміщень, придатних для розміщення органів місцевого самоврядування|1
