name|Новоушицька територіальна громада
region|Хмельницька область
id|id458
link|http://decentralization.gov.ua/region/common/id/591
0|1|2
Найменування показника|Значення показника|
1.|Чисельність населення станом на 1 січня 2015 р.|27028.0
у тому числі дітей:|3812|
дошкільного віку|1344|
шкільного віку|2468|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|53.0
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|234984.0
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|154684|
бюджету розвитку||
базової дотації|8030|
реверсної дотації||
4.|Площа території спроможної територіальної громади, кв. кілометрів|747.0
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|181.0
у тому числі:||
загальноосвітніх навчальних закладів I-III ступеня|14|
загальноосвітніх навчальних закладів I-II ступеня|8|
загальноосвітніх навчальних закладів I ступеня|0|
дошкільних навчальних закладів|32|
закладів позашкільної освіти|2|
закладів культури|77|
закладів фізичної культури|1|
фельдшерсько-акушерських пунктів|41|
амбулаторій, поліклінік|4|
лікарень|1|
станцій швидкої допомоги|1|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|11.0
правоохоронної діяльності|5|
реєстрації актів цивільного стану та майнових прав|1|
пенсійного забезпечення|1|
соціального захисту|2|
пожежної безпеки|1|
казначейського обслуговування|1|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|2.0
