name|Старосинявська територіальна громада
region|Хмельницька область
id|id463
link|http://decentralization.gov.ua/region/common/id/602
0|1
Найменування показника|Значення показника
1. Чисельність населення станом на 1 січня 2015 р. у тому числі дітей:  дошкільного віку  шкільного віку|20,7   543   1750
2. Кількість населених пунктів, що входять до складу спроможної територіальної громади|44 та 1 селищна рада
3. Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень  у тому числі:  сформованих відповідно до статті 64 Бюджетного кодексу України  бюджету розвитку  базової дотації  реверсної дотації|20187,5            15105,8            5081,7
4. Площа території спроможної територіальної громади, кв. кілометрів|0.66 тис. м2
5. Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі:  загальноосвітніх навчальних закладів I - III ступеня  загальноосвітніх навчальних закладів I - II ступеня  загальноосвітніх навчальних закладів I ступеня  дошкільних навчальних закладів  закладів позашкільної освіти  закладів культури  закладів фізичної культури  фельдшерсько-акушерських пунктів  амбулаторій, поліклінік  лікарень  станцій швидкої допомоги|11  6  2  17  1  57  1  29  5  1
6. Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:  правоохоронної діяльності     реєстрації актів цивільного стану та майнових прав        пенсійного забезпечення     соціального захисту     пожежної безпеки        казначейського обслуговування|смт. Стара Синява  вул. Грушевського, 50        смт. Стара Синява  вул. Грушевського, 19           смт. Стара Синява  вул. І. Франка, 8        смт. Стара Синява  вул. І. Франка, 7     смт. Стара Синява  вул. Грушевського, 7  (с. Заставці,с. Адампіль,с. Пасічна,с. Пилява,с. Нова Синявка)      смт. Стара Синява  вул..І. Франка, 5а
7. Наявність приміщень для розміщення органів місцевого самоврядування|смт. Стара Синява  вул. І. Франка, 8
