name|Чорноострівська територіальна громада
region|Хмельницька область
id|id466
link|http://decentralization.gov.ua/region/common/id/608
0|1|2
Найменування показника|Значення показника|
1.|Чисельність населення станом на 1 січня 2015 р.|11954
у тому числі дітей:|1909|
дошкільного віку|777|
шкільного віку|1132|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|21
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|11724900
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|8596400|
бюджету розвитку|141200|
базової дотації|2987300|
реверсної дотації||
4.|Площа території спроможної територіальної громади,  кв. кілометрів|26293
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування,  у тому числі:|55
загальноосвітніх навчальних закладів I-III ступенів|3|
загальноосвітніх навчальних закладів I-II ступеня|6|
загальноосвітніх навчальних закладів I ступеня|1|
дошкільних навчальних закладів|9|
закладів позашкільної освіти||
закладів культури|19|
закладів фізичної культури|1|
фельдшерсько-акушерських пунктів|14|
амбулаторій, поліклінік|2|
лікарень||
станцій швидкої допомоги||
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|в наявності|
реєстрації актів цивільного стану та майнових прав|в наявності|
пенсійного забезпечення|в наявності|
соціального захисту|в наявності|
пожежної безпеки|в наявності|
казначейського обслуговування|в наявності|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|в наявності
