name|Білозірська територіальна громада
region|Черкаська область
id|id467
link|http://decentralization.gov.ua/region/common/id/475
0|1
Найменування показника|Значення показника
1.Чисельність населення станом на 1 січня 2015 р.,  у тому числі дітей:|8943
дошкільного віку|658
шкільного віку|664
2.  Кількість населених пунктів, що входять  до складу спроможної територіальної громади|2
3.  Обсяг доходів (розрахунковий) спроможної територіальної громади, тис. гривень,  у тому числі:|89691
сформованих відповідно до статті 64 Бюджетного кодексу України|65627
бюджету розвитку|617
базової дотації|23447
реверсної дотації|-
4.   Площа території спроможної територіальної громади, кв. кілометрів|20071
5.   Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування,  у тому числі:|13
загальноосвітніх навчальних закладів I-III ступеня|3
загальноосвітніх навчальних закладів I-II ступеня|
загальноосвітніх навчальних закладів I ступеня|-
дошкільних навчальних закладів|2
закладів позашкільної освіти|-
закладів культури|6
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|1
амбулаторій, поліклінік|1
лікарень|-
станцій швидкої допомоги|-
6.   Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|6
правоохоронної діяльності|1
реєстрації актів цивільного стану та  майнових прав|1
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейського обслуговування|1
7.   Наявність приміщень для розміщення органів місцевого самоврядування|2
