name|Єрківська територіальна громада
region|Черкаська область
id|id468
link|http://decentralization.gov.ua/region/common/id/556
0|1
Найменування показника|Значення показника
1. Чисельність населення станом на 1 січня 2015 р.  у тому числі дітей:|5426
дошкільного віку|162
шкільного віку|438
2.Кількість населених пунктів, що входять  до складу спроможної територіальної громади|3
3.Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень у тому числі:|8699377
сформованих відповідно до статті 64 Бюджетного кодексу України|7803630
бюджету розвитку|1131161
базової дотації|143755
реверсної дотації|379169
4.Площа території спроможної територіальної громади, кв. кілометрів|53,0 кв. км.
5.Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування у тому числі:|8
загальноосвітніх навчальних закладів I- III ступеня|1
загальноосвітніх навчальних закладів I- II ступеня|
загальноосвітніх навчальних закладів I ступеня|1
дошкільних навчальних закладів|2
закладів позашкільної освіти|0
закладів культури|2
закладів фізичної культури|0
фельдшерсько-акушерських пунктів|1
амбулаторій, поліклінік|1
лікарень|0
станцій швидкої допомоги|0
6.Наявність приміщень для розміщення державних органів,  установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|
реєстрації актів цивільного стану та  майнових прав|
пенсійного забезпечення|
соціального захисту|
пожежної безпеки|
казначейського обслуговування|
7.Наявність приміщень для розміщення органів місцевого самоврядування|
