name|Мокрокалигірська територіальна громада
region|Черкаська область
id|id469
link|http://decentralization.gov.ua/region/common/id/518
0|1
Найменування показника|Значення показника
1. Чисельність населення станом на 1 січня 2015 р.  у тому числі дітей:|4752
дошкільного віку|123
шкільного віку|371
2.Кількість населених пунктів,що входять до складу спроможної територіальної громади|6
3. Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень у тому числі:|
сформованих відповідно до статті 64 Бюджетного кодексу України|
бюджету розвитку|
базової дотації|
реверсної дотації|
4. Площа території спроможної територіальної громади, кв. кілометрів|12721
5.Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування у тому числі:|19
загальноосвітніх навчальних закладів I— III ступеня|2
загальноосвітніх навчальних закладів I— II ступеня|-
загальноосвітніх навчальних закладів I ступеня|-
дошкільних навчальних закладів|4
закладів позашкільної освіти|-
закладів культури (БК 4, бібліотеки 4, музична школа 1)|9
закладів фізичної культури|
фельдшерсько-акушерських пунктів|2
амбулаторій, поліклінік|2
лікарень|-
станцій швидкої допомоги|-
6.Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|є
реєстрації актів цивільного стану та  майнових прав|є
пенсійного забезпечення|є
соціального захисту|є
пожежної безпеки|є
казначейського обслуговування|є
7.Наявність приміщень для розміщення органів місцевого самоврядування|є
