name|Павлівська територіальна громада
region|Волинська область
id|id137
link|http://decentralization.gov.ua/region/common/id/863
0|1|2|3
село|Громади|Бюджети|Водопостачання
Жашковичі|Павлівська територіальна громада||
Завидів|Павлівська територіальна громада||
Клопочин|Павлівська територіальна громада||
Павлівка|Павлівська територіальна громада||
Переславичі|Павлівська територіальна громада||
Риковичі|Павлівська територіальна громада||
Самоволя|Павлівська територіальна громада||
Старий Порицьк|Павлівська територіальна громада||
Старосілля|Павлівська територіальна громада||
Топилище|Павлівська територіальна громада||
Трубки|Павлівська територіальна громада||
