name|Набутівська територіальна громада
region|Черкаська область
id|id470
link|http://decentralization.gov.ua/region/common/id/524
0|1|2|3
село|Громади|Бюджети|Водопостачання
Бровахи|Набутівська територіальна громада||
Буда-Бровахівська|Набутівська територіальна громада||
Деренковець|Набутівська територіальна громада||
Драбівка|Набутівська територіальна громада||
Кичинці|Набутівська територіальна громада||
Корнилівка|Набутівська територіальна громада||
Мірошниківка|Набутівська територіальна громада||
Набутів|Набутівська територіальна громада||
Нетеребка|Набутівська територіальна громада||
Паськів|Набутівська територіальна громада||
Сахнівка|Набутівська територіальна громада||
