name|Великокучурівська територіальна громада
region|Чернівецька область
id|id479
link|http://decentralization.gov.ua/region/common/id/359
0|1|2
Найменування показника|Значення показника|
1|Чисельність населення станом на 1 січня 2015 року|14191
у  тому  числі  дітей:|3057|
дошкільного віку|836|
шкільного віку|2221|
2|Кількість населених пунктів, що входять до складу спроможної територіальної громади|5
3|Обсяг доходів (розрахунковий) спроможної територіальної громади, тис. гривень|104430
у тому числі:||
сформованих відповідно до статті 64 Бюджетного Кодексу України|36020|
бюджету розвитку|-|
базової дотації|68410|
реверсної дотації|-|
4|Площа території спроможної територіальної громади кв. кілометрів|996
5|Кількість закладів, що утримуються за рахунок бюджетів органів місцевого самоврядування|9
у тому числі:||
загальноосвітніх навчальних закладів І-ІІІ ступеня|3|
загальноосвітніх навчальних закладів І-ІІ ступеня|1|
загальноосвітніх навчальних закладів І ступеня|0|
дошкільних навчальних закладів|2|
закладів позашкільної освіти|0|
закладів культури|5|
закладів фізичної культури|2|
фельдшерсько-акушерських пунктів|3|
амбулаторій, поліклінік|2|
лікарень|1|
станцій швидкої допомоги|0|
6|Наявність приміщень для розміщення державних органів,  установ, що здійснюють повноваження щодо:|6
правоохоронної діяльності|Є|
реєстрації актів цивільного стану та майнових прав|Є|
пенсійного забезпечення|Є|
соціального захисту|Є|
пожежної безпеки|Є|
казначейського обслуговування|Є|
7|Наявність приміщень  для розміщення органів місцевого самоврядування|Є
