name|Клішковецька територіальна громада
region|Чернівецька область
id|id483
link|http://decentralization.gov.ua/region/common/id/367
0|1
Найменування показника|Значення показника
1. Чисельність населення станом на 1 січня 2015 р.|7315
у тому числі дітей:|1242
дошкільного віку|490
шкільного віку|752
2. Кількість населених пунктів, що входять до складу спроможної територіальної громади|3
3. Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|5729022
у тому числі:|
сформованих відповідно до статті 64 Бюджетного кодексу України|2452811
бюджету розвитку|-
базової дотації|3276211
реверсної дотації|-
4. Площа території спроможної територіальної громади, кв. кілометрів|7261
5. Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|16
у тому числі:|
загальноосвітніх навчальних закладів I - III ступеня|1
загальноосвітніх навчальних закладів I - II ступеня|-
загальноосвітніх навчальних закладів I ступеня|2
дошкільних навчальних закладів|-
навчально-виховний комплекс|2
закладів позашкільної освіти|1
закладів культури|6
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|1
амбулаторій, поліклінік|2
лікарень|-
станцій швидкої допомоги|1
6. Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|6
правоохоронної діяльності|1
реєстрації актів цивільного стану та майнових прав|1
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейського обслуговування|1
7. Наявність приміщень для розміщення органів місцевого самоврядування|1
