name|Мамалигівська територіальна громада
region|Чернівецька область
id|id486
link|http://decentralization.gov.ua/region/common/id/372
0|1|2
Найменування показника|Значення показника|
1|Чисельність населення станом на 1 січня 2015 року|12744
у  тому  числі  дітей|2078|
дошкільного віку|680|
шкільного віку|1398|
2|Кількість населених пунктів, що входять до складу спроможної територіальної громади|11
3|Обсяг доходів (розрахунковий) спроможної територіальної громади, тис. гривень|128966
у тому числі:||
сформованих відповідно до статті 64 Бюджетного Кодексу України|69071|
бюджету розвитку|-|
базової дотації|59895|
реверсної дотації|-|
4|Площа території спроможної територіальної громади кв. кілометрів|175
5|Кількість закладів, що утримуються за рахунок бюджетів органів місцевого самоврядування|45
у тому числі:||
загальноосвітніх навчальних закладів І-ІІІ ступеня|7|
загальноосвітніх навчальних закладів І-ІІ ступеня|-|
загальноосвітніх навчальних закладів І ступеня|-|
дошкільних навчальних закладів|6|
закладів позашкільної освіти|1|
закладів культури|23|
закладів фізичної культури|-|
фельдшерсько-акушерських пунктів|2|
амбулаторій, поліклінік|6|
Лікарень|-|
станцій швидкої допомоги|-|
6|Наявність приміщень для розміщення державних органів,  установ, що здійснюють повноваження щодо:|6
правоохоронної діяльності|Є|
реєстрації актів цивільного стану та майнових прав|Є|
пенсійного забезпечення|Є|
соціального захисту|Є|
пожежної безпеки|Є|
казначейського обслуговування|Є|
7|Наявність приміщень  для розміщення органів місцевого самоврядування|Є
