name|Недобоївська територіальна громада
region|Чернівецька область
id|id487
link|http://decentralization.gov.ua/region/common/id/374
0|1
Найменування показника|Значення показника
1. Чисельність населення станом на 1 січня 2015 р.|7171
у тому числі дітей:|1082
дошкільного віку|435
шкільного віку|647
2. Кількість населених пунктів, що входять до складу спроможної територіальної громади|4
3. Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|5789014
у тому числі:|-
сформованих відповідно до статті 64 Бюджетного кодексу України|2334820
бюджету розвитку|-
базової дотації|3454194
реверсної дотації|-
4. Площа території спроможної територіальної громади, кв. кілометрів|795
5. Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|15
у тому числі:|-
загальноосвітніх навчальних закладів I - III ступеня|-
загальноосвітніх навчальних закладів I - II ступеня|2
загальноосвітніх навчальних закладів I ступеня|-
дошкільних навчальних закладів|2
навчально-виховний комплекс|2
закладів позашкільної освіти|-
закладів культури|7
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|-
амбулаторій|2
лікарень|-
станцій швидкої допомоги|-
6. Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|6
правоохоронної діяльності|1
реєстрації актів цивільного стану та майнових прав|1
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейського обслуговування|1
7. Наявність приміщень для розміщення органів місцевого самоврядування|1
