name|Селятинська територіальна громада
region|Чернівецька область
id|id489
link|http://decentralization.gov.ua/region/common/id/1364
0|1|2|3
село|Громади|Бюджети|Водопостачання
Андреківське|Селятинська територіальна громада||
Верхній Яловець|Селятинська територіальна громада||
Галицівка|Селятинська територіальна громада||
Лустун|Селятинська територіальна громада||
Нижній Яловець|Селятинська територіальна громада||
Плоска|Селятинська територіальна громада||
Руська|Селятинська територіальна громада||
Сарата|Селятинська територіальна громада||
Селятин|Селятинська територіальна громада||
Шепіт|Селятинська територіальна громада||
