name|Самарівська територіальна громада
region|Волинська область
id|id141
link|http://decentralization.gov.ua/region/common/id/896
0|1|2|3
село|Громади|Бюджети|Водопостачання
Березники|Самарівська територіальна громада||
Боровуха|Самарівська територіальна громада||
Бродятине|Самарівська територіальна громада||
Головище|Самарівська територіальна громада||
Залисиця|Самарівська територіальна громада||
Залухів|Самарівська територіальна громада||
Занивське|Самарівська територіальна громада||
Заприп’ять|Самарівська територіальна громада||
Козовата|Самарівська територіальна громада||
Мале Оріхове|Самарівська територіальна громада||
Межисить|Самарівська територіальна громада||
Під’язівні|Самарівська територіальна громада||
Почапи|Самарівська територіальна громада||
Самари|Самарівська територіальна громада||
Самари-Оріхові|Самарівська територіальна громада||
Теребовичі|Самарівська територіальна громада||
Хабарище|Самарівська територіальна громада||
Щитинська Воля|Самарівська територіальна громада||
Язавні|Самарівська територіальна громада||
