name|Устилузька територіальна громада 
region|Волинська область
id|id143
link|http://decentralization.gov.ua/region/common/id/718
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 1 січня 2015 р. у тому числі дітей:|7778
дошкільного віку|568|
шкільного віку|740|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|26
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень,  у тому числі:|8470700
сформованих відповідно до статті 64 Бюджетного кодексу України|6926000|
бюджету розвитку|0|
базової дотації|1544700|
реверсної дотації|0|
4.|Площа території спроможної територіальної громади, кв. кілометрів|401
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування у тому числі:|61
загальноосвітніх навчальних закладів I—III ступеня|3|
загальноосвітніх навчальних закладів I—II ступеня|4|
загальноосвітніх навчальних закладів I ступеня|3|
дошкільних навчальних закладів|8|
закладів позашкільної освіти|0|
закладів культури|21|
закладів фізичної культури|0|
фельдшерсько-акушерських пунктів|19|
амбулаторій, поліклінік|1|
лікарень|1|
станцій швидкої допомоги|1|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|є|
реєстрації актів цивільного стану та майнових прав|є|
пенсійного забезпечення|є|
соціального захисту|є|
пожежної безпеки|є|
казначейського обслуговування|є|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|є
