name|Шацька територіальна громада
region|Волинська область
id|id144
link|http://decentralization.gov.ua/region/common/id/903
0|1
Чисельність населення станом на 1 січня 2015 р. (осіб)   у тому числі дітей:|8739
дошкільного віку (діт.)|800
шкільного віку (діт.)|1027
Кількість населених пунктів, що входять до складу спроможної територіальної громади|11
Обсяг доходів (розрахунковий) спроможної територіальної громади (грн.)  у тому числі:|11902291
сформованих відповідно до статті 64 Бюджетного кодексу України (грн.)|5619959
бюджету розвитку (грн.)|1908000
базової дотації (грн.)|4374332
реверсної дотації (грн.)|0
Площа території спроможної територіальної громади, км2|24699
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування   у тому числі:|-
загальноосвітніх навчальних закладів I—III ступеня|3
загальноосвітніх навчальних закладів I—II ступеня|4
загальноосвітніх навчальних закладів I ступеня|0
дошкільних навчальних закладів|4
закладів позашкільної освіти|1
закладів культури|10
закладів фізичної культури|1
фельдшерсько-акушерських пунктів|8
амбулаторій, поліклінік|1
лікарень|1
станцій швидкої допомоги|1
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|є
правоохоронної діяльності|є
реєстрації актів цивільного стану та майнових прав|є
пенсійного забезпечення|є
соціального захисту|є
пожежної безпеки|є
казначейського обслуговування|є
Наявність приміщень для розміщення органів місцевого самоврядування|є
