name|Богданівська територіальна громада
region|Дніпропетровська область
id|id147
link|http://decentralization.gov.ua/region/common/id/729
"
			№ п/п
			"|"
			Найменування показника
			"|"
			Значення показника
			"
1.|Чисельність населення станом на 01 січня 2015 року, осіб, у тому числі дітей:|7120.0
дошкільного віку|380|
шкільного віку|704|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|9.0
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, тис. грн, у тому числі:|3146577.0
|сформованих відповідно до ст. 64 Бюджетного кодексу України|3146577.0
|бюджету розвитку|0.0
|базової дотації|0.0
|реверсної дотації|95220.0
4.|Площа території спроможної територіальної громади, кв. км|3628.0
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування у тому числі:|19.0
|загальноосвітніх навчальних закладів I – III ступенів|2.0
|загальноосвітніх навчальних закладів I – II ступенів|2.0
|загальноосвітніх навчальних закладів I ступеня|0.0
|дошкільних навчальних закладів|3.0
|закладів позашкільної освіти|0.0
|закладів культури|3.0
|закладів фізичної культури|0.0
|фельдшерсько-акушерських пунктів|5.0
|амбулаторій, поліклінік|2.0
|лікарень|0.0
|пунктів постійного базування|2.0
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|0.0
правоохоронної діяльності|0|
реєстрації актів цивільного стану та майнових прав|0|
пенсійного забезпечення|0|
соціального захисту|0|
пожежної безпеки|0|
казначейського обслуговування|0|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|3.0
