name|Варварівська територіальна громада
region|Дніпропетровська область
id|id150
link|http://decentralization.gov.ua/region/common/id/1261
0|1|2|3
село|Громади|Бюджети|Водопостачання
В’язівське-Водяне|Варварівська територіальна громада||
Варварівка|Варварівська територіальна громада||
Вербське|Варварівська територіальна громада||
Вербуватівка|Варварівська територіальна громада||
Весела Гірка|Варварівська територіальна громада||
Долина|Варварівська територіальна громада||
Нижнянка|Варварівська територіальна громада||
Призове|Варварівська територіальна громада||
Широка Балка|Варварівська територіальна громада||
Юр’ївське|Варварівська територіальна громада||
