name|Вербківська територіальна громада
region|Дніпропетровська область
id|id153
link|http://decentralization.gov.ua/region/common/id/728
0|1|2
№ п/п|Найменування показника|Значення показника
1.|Чисельність населення станом на 01 січня 2015 року, осіб, у тому числі дітей:|8103
дошкільного віку|519|
шкільного віку|790|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|12
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, тис. грн, у тому числі:|4807612
|сформованих відповідно до ст. 64 Бюджетного кодексу України|3567352
|бюджету розвитку|0
|базової дотації|0
|реверсної дотації|124026
4.|Площа території спроможної територіальної громади, кв. км|4503
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|22
|загальноосвітніх навчальних закладів I – III ступенів|3
|загальноосвітніх навчальних закладів I – II ступенів|0
|загальноосвітніх навчальних закладів I ступеня|0
|дошкільних навчальних закладів|3
|закладів позашкільної освіти|1
|закладів культури|4
|закладів фізичної культури|0
|фельдшерсько-акушерських пунктів|7
|амбулаторій, поліклінік|2
|лікарень|0
|пункти постійного базування|2
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|0
правоохоронної діяльності|0|
реєстрації актів цивільного стану та майнових прав|0|
пенсійного забезпечення|0|
соціального захисту|0|
пожежної безпеки|0|
казначейського обслуговування|0|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|4
