name|Зеленодольська територіальна громада
region|Дніпропетровська область
id|id157
link|http://decentralization.gov.ua/region/common/id/733
0|1|2
№ з/п|Показники|Значення показників
1.|Чисельність населення станом на 01 січня 2015 року, у тому числі:|20856
дітей дошкільного віку|1032|
дітей шкільного віку|1864|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|4
3.|Обсяг доходів (розрахунково) спроможної територіальної громади, усього, тис. грн, у тому числі:|
сформованих відповідно до статті 64  Бюджетного кодексу України|439115|
бюджету розвитку|113413|
базової дотації|0|
резервної дотації|0|
4.|Площа спроможної територіальної громади, кв. км|27627
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, усього одиниць, у тому числі:|29
школи І – ІІІ ступенів|5|
школи І – ІІ ступенів|0|
школи І ступеня|1|
дитячі садки|6|
заклади позашкільної освіти|2|
культури|8|
фізичної культури|1|
фельдшерсько-акушерські пункти|2|
амбулаторії, поліклініки|3|
лікарні|1|
станції швидкої допомоги|0|
6.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, всього одиниць, у тому числі:|2
правоохоронних органів|1|
реєстрації актів громадянського стану та майнових прав|0|
пенсійного фонду|0|
соціального захисту населення|0|
протипожежної безпеки|1|
казначейства|0|
7.|Наявність приміщень, придатних для розміщення органів місцевого самоврядування|3
