name|Ляшківська територіальна громада
region|Дніпропетровська область
id|id160
link|http://decentralization.gov.ua/region/common/id/730
0|1|2
№ з/п|Найменування показника|Значення показника
1.|Чисельність населення станом на 01 січня 2015 року, осіб, у тому числі дітей:|2162
дошкільного віку|143|
шкільного віку|252|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|9
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, цусього, тис. грн,  у тому числі:|57510
сформованих відповідно до ст. 64 Бюджетного кодексу України|18024|
бюджету розвитку|00|
базової дотації|5865|
реверсної дотації|00|
4.|Площа території спроможної територіальної громади, кв. км|82197
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, усього одиниць, у тому числі:|12
загальноосвітніх навчальних закладів I – III ступенів|1|
загальноосвітніх навчальних закладів I – ІI ступенів|1|
загальноосвітніх навчальних закладів I ступеня|0|
дошкільних навчальних закладів|2|
закладів позашкільної освіти|0|
закладів культури|5|
закладів фізичної культури|0|
фельдшерсько-акушерських пунктів|3|
амбулаторій, поліклінік|0|
лікарень|0|
пунктів постійного базування|0/0|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|7
правоохоронної діяльності|1|
реєстрації актів цивільного стану та майнових прав|2|
пенсійного забезпечення|1|
соціального захисту|1|
пожежної безпеки|1|
казначейського обслуговування|1|
7.|Наявність приміщень для розміщення органів місцевого самоврядування, усього одиниць|2
