name|Мирівська територіальна громада
region|Дніпропетровська область
id|id162
link|http://decentralization.gov.ua/region/common/id/1244
0|1|2
Найменування показника|Значення показника|
1.|Чисельність населення станом на 01 січня 2015 року, осіб, у тому числі дітей:|4154.0
дошкільного віку|361|
шкільного віку|489|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|7.0
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, усього, тис. грн, у тому числі:|51151.0
сформованих відп. до ст. 64 Бюджетного кодексу України|46498|
бюджету розвитку||
базової дотації|4653|
реверсної дотації||
4.|Площа території спроможної територіальної громади,  кв.КМ|1297.0
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, усього одиниць, у тому числі:|10.0
загальноосвітніх навчальних закладів І - III ступенів|2|
дошкільних навчальних закладів|3|
закладів позашкільної освіти||
закладів культури|2|
закладів фізичної культури||
фельдшерсько-акушерських пунктів|2|
амбулаторій, поліклінік|1|
лікарень||
пунктів постійного базування||
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|6.0
правоохоронної діяльності|1|
реєстрації актів цивільного стану та майнових прав|1|
пенсійного забезпечення|1|
соціального захисту|1|
пожежної безпеки|1|
казначейського обслуговування|1|
7.|Наявність приміщень для розміщення органів місцевого самоврядування всього одиниць|2.0
