name|Новолатівська територіальна громада
region|Дніпропетровська область
id|id165
link|http://decentralization.gov.ua/region/common/id/1266
0|1|2|3
село|Громади|Бюджети|Водопостачання
Зелена Балка|Новолатівська територіальна громада||
Інгулець|Новолатівська територіальна громада||
Курганка|Новолатівська територіальна громада||
Латівка|Новолатівська територіальна громада||
Макарівка|Новолатівська територіальна громада||
Нове|Новолатівська територіальна громада||
Новолатівка|Новолатівська територіальна громада||
Новоселівка|Новолатівська територіальна громада||
Стародобровільське|Новолатівська територіальна громада||
Червоний Ранок|Новолатівська територіальна громада||
Шведове|Новолатівська територіальна громада||
