name|Новопокровська	територіальна громада
region|Дніпропетровська область
id|id168
link|http://decentralization.gov.ua/region/common/id/724
0|1|2
№  з/п|Найменування показника|Значення показника
1.|Чисельність населення станом на 01 січня 2015 року, осіб, у тому числі дітей:|4104
дошкільного віку|258|
шкільного віку|464|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|14
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, усього, тис. грн, у тому числі:|23977
сформованих відповідно до ст. 64 Бюджетного кодексу України|15140|
бюджету розвитку|0|
базової дотації|8837|
реверсної дотації|0|
4.|Площа території спроможної територіальної громади, кв. км|22929
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, усього одиниць, у тому числі:|24
загальноосвітніх навчальних закладів I – III ступеня|2|
загальноосвітніх навчальних закладів I – ІI ступеня|2|
загальноосвітніх навчальних закладів I ступеня|0|
дошкільних навчальних закладів|3|
закладів позашкільної освіти|0|
закладів культури|10|
закладів фізичної культури|0|
фельдшерсько-акушерських пунктів|4|
амбулаторій, поліклінік|2|
лікарень|0|
пунктів постійного базування|1|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|6
правоохоронної діяльності|1|
реєстрації актів цивільного стану та майнових прав|1|
пенсійного забезпечення|1|
соціального захисту|1|
пожежної безпеки|1|
казначейського обслуговування|1|
7.|Наявність приміщень для розміщення органів місцевого самоврядування, усього одиниць|3
