name|Святовасилівська територіальна громада
region|Дніпропетровська область
id|id171
link|http://decentralization.gov.ua/region/common/id/723
0|1|2
№  з/п|Найменування показника|Значення показника
1.|Кількість населення станом на 01 січня 2015 року, у тому числі:|4139
дошкільного віку|313|
шкільного віку|505|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|19
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, усього, тис. грн, у тому числі:|43648
сформованих відповідно до ст. 64 Бюджетного кодексу України|41971|
бюджету розвитку|0|
базової дотації|1677|
реверсної дотації|0|
4.|Площа території спроможної територіальної громади, кв. км|231403
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, усього одиниць, у тому числі:|22
загальноосвітніх навчальних закладів I – III ступеня|2|
загальноосвітніх навчальних закладів I – ІI ступеня|2|
загальноосвітніх навчальних закладів I ступеня|0|
дошкільних навчальних закладів|3|
закладів позашкільної освіти|0|
закладів культури|9|
закладів фізичної культури|0|
фельдшерсько-акушерських пунктів|4|
амбулаторій, поліклінік|2|
лікарень|0|
пунктів постійного базування|0|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|12
правоохоронної діяльності|1|
реєстрації актів цивільного стану та майнових прав|4|
пенсійного забезпечення|2|
соціального захисту|3|
пожежної безпеки|0|
казначейського обслуговування|2|
7.|Наявність приміщень для розміщення органів місцевого самоврядування, усього одиниць|4
