name|Слобожанська територіальна громада
region|Дніпропетровська область
id|id172
link|http://decentralization.gov.ua/region/common/id/731
"
			№ п/п
			"|"
			Найменування показника
			"|"
			Загальні показники
			"
1.|Чисельність населення станом на 01 січня 2015 року, осіб, у тому числі дітей:|14423.0
дошкільного віку|1252|
шкільного віку|1454|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|2.0
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, усього, тис. грн, у тому числі:|759161.0
сформованих відповідно до ст. 64 Бюджетного кодексу України|759161|
бюджету розвитку|0|
базової дотації|0|
реверсної дотації|0|
4.|Площа території спроможної територіальної громади, кв. км|1664.0
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, усього одиниць, у тому числі:|16.0
загальноосвітніх навчальних закладів I – III ступеня|2|
загальноосвітніх навчальних закладів I – ІI ступеня|0|
загальноосвітніх навчальних закладів I ступеня|1|
дошкільних навчальних закладів|3|
закладів позашкільної освіти|1|
закладів культури|4|
закладів фізичної культури|2|
фельдшерсько-акушерських пунктів|1|
амбулаторій, поліклінік|2|
лікарень|0|
пунктів постійного базування|0|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|6.0
правоохоронної діяльності|1|
реєстрації актів цивільного стану та майнових прав|0|
пенсійного забезпечення|1|
соціального захисту|2|
пожежної безпеки|1|
казначейського обслуговування|1|
7.|Наявність приміщень для розміщення органів місцевого самоврядування, усього одиниць|2.0
