name|Сурсько-Литовська територіальна громада
region|Дніпропетровська область
id|id175
link|http://decentralization.gov.ua/region/common/id/726
0|1|2
№ з/п|Найменування показника|Значення показника
1.|Чисельність населення станом на 01 січня 2015 року, осіб, у тому числі дітей:|6214
дошкільного віку|439|
шкільного віку|640|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|4
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, усього, тис. грн, у тому числі:|37336
сформованих відповідно до ст. 64 Бюджетного кодексу України|37336|
бюджету розвитку|0|
базової дотації|0|
реверсної дотації|0|
4.|Площа території спроможної територіальної громади, кв. км|1215
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, усього одиниць, у тому числі:|12
загальноосвітніх навчальних закладів I – III ступеня|2|
загальноосвітніх навчальних закладів I – ІI ступеня|0|
загальноосвітніх навчальних закладів I ступеня|0|
дошкільних навчальних закладів|2|
закладів позашкільної освіти|0|
закладів культури|5|
закладів фізичної культури|0|
фельдшерсько-акушерських пунктів|0|
амбулаторій, поліклінік|2|
лікарень|0|
пунктів постійного базування|1|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|1
правоохоронної діяльності|0|
реєстрації актів цивільного стану та майнових прав|0|
пенсійного забезпечення|0|
соціального захисту|0|
пожежної безпеки|0|
казначейського обслуговування|1|
7.|Наявність приміщень для розміщення органів місцевого самоврядування, усього одиниць|3
