name|Царичанська територіальна громада
region|Дніпропетровська область
id|id177
link|http://decentralization.gov.ua/region/common/id/1267
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 01 січня 2017 року, осіб, у тому числі дітей:|15227.0
дошкільного віку|463|
шкільного віку|1305|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|23.0
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, всього, тис. грн, у тому числі:|722770.0
сформованих відп. до ст. 64 Бюджетного кодексу України|341096|
бюджету розвитку|-|
базової дотації|21593|
реверсної дотації|-|
4.|Площа території спроможної територіальної громади, кв. км.|453492.0
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, всього одиниць, у тому числі:|
загальноосвітніх навчальних закладів I – III ступеня|4|
загальноосвітніх навчальних закладів I – ІI ступеня (філії)|2|
загальноосвітніх навчальних закладів I ступеня|2|
дошкільних навчальних закладів|6|
закладів позашкільної освіти|2|
закладів культури|18|
закладів фізичної культури|3|
фельдшерсько-акушерських пунктів|6|
амбулаторій, поліклінік|3|
лікарень|1|
станцій швидкої допомоги|1|
