name|Полянська територіальна громада
region|Закарпатська область
id|id182
link|http://decentralization.gov.ua/region/common/id/1277
0|1|2|3
село|Громади|Бюджети|Водопостачання
Оленьово|Полянська територіальна громада||
Павлово|Полянська територіальна громада||
Плоске|Полянська територіальна громада||
Плоский Потік|Полянська територіальна громада||
Поляна|Полянська територіальна громада||
Родниківка|Полянська територіальна громада||
Родникова Гута|Полянська територіальна громада||
Уклин|Полянська територіальна громада||
Яківське|Полянська територіальна громада||
