name|Комиш-Зорянська територіальна громада
region|Запорізька область
id|id195
link|http://decentralization.gov.ua/region/common/id/434
0|1|2
Найменування показника|Значення показника|
1|Чисельність населення станом на 1 січня 2015 р. у тому числі дітей:|6748
дошкільного віку|300|
шкільного віку|575|
2|Кількість населених пунктів, що входять до складу спроможної територіальної громади|10
3|Обсяг доходів (розрахунковий) спроможної територіальної громади,  гривень  у тому числі:|6 468 931
сформованих відповідно до статті 64 Бюджетного кодексу України|6 468 931|
базової дотації||
реверсної дотації||
4|Площа території спроможної територіальної громади, кв. кілометрів|37620
5|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування у тому числі:|27
загальноосвітніх навчальних закладів I—III ступеня|4|
загальноосвітніх навчальних закладів I—II ступеня|0|
загальноосвітніх навчальних закладів I ступеня|0|
дошкільних навчальних закладів|4|
закладів позашкільної освіти|0|
закладів культури|11|
закладів фізичної культури|0|
фельдшерсько-акушерських пунктів|4|
амбулаторій, поліклінік|4|
лікарень|0|
станцій швидкої допомоги|0|
6|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|1|
реєстрації актів цивільного стану та майнових прав|1|
пенсійного забезпечення|1|
соціального захисту|1|
пожежної безпеки|1|
казначейського обслуговування|1|
7|Наявність приміщень для розміщення органів місцевого самоврядування|5
