name|Смирновська територіальна громада
region|Запорізька область
id|id204
link|http://decentralization.gov.ua/region/common/id/461
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 р.  у тому числі дітей|3 793  616
дошкільного віку|296
шкільного віку|320
Кількість населених пунктів, що входять до складу спроможної територіальної громади|8
Обсяг доходів (розрахунковий) спроможної територіальної громади,  гривень  у тому числі|5 532 130
сформованих відповідно до статті 64 Бюджетного кодексу України|
базової дотації|
реверсної дотації|
Площа території спроможної територіальної громади, кв. кілометрів|31760
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування у тому числі|20
загальноосвітніх навчальних закладів I—III ступеня|1
загальноосвітніх навчальних закладів I—II ступеня|1
загальноосвітніх навчальних закладів I ступеня|2
дошкільних навчальних закладів|1
закладів позашкільної освіти|0
закладів культури|8
закладів фізичної культури|1
фельдшерсько-акушерських пунктів|4
амбулаторій, поліклінік|1
лікарень|0
станцій швидкої допомоги|1
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|6
правоохоронної діяльності|1
реєстрації актів цивільного стану та майнових прав|1
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейського обслуговування|1
Наявність приміщень для розміщення органів місцевого самоврядування|3
