name|Білоберізька територіальна громада
region|Івано-Франківська область
id|id208
link|http://decentralization.gov.ua/region/common/id/1016
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 р.|2745
у тому числі дітей|
дошкільного віку|262
шкільного віку|355
Кількість населених пунктів, що входять до складу спроможної територіальної громади|4
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|2 161 700
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|1162 200
бюджету розвитку|
базової дотації|999 500
реверсної дотації|
Площа території спроможної територіальної громади, кв. км|4635
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|19
у тому числі|
загальноосвітніх навчальних закладів І-ПІ ступеня|1
загальноосвітніх навчальних закладів І-ІІ ступеня|1
загальноосвітніх навчальних закладів І ступеня|2
дошкільних навчальних закладів|1
закладів позашкільної освіти|0
закладів культури|9
закладів фізичної культури|0
фельдшерсько-акушерських пунктів|4
амбулаторій, поліклінік|0
лікарень|1
станцій швидкої допомоги|0
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|наявне
реєстрації актів цивільного стану та майнових прав|наявне
пенсійного забезпечення|наявне
соціального захисту|наявне
пожежної безпеки|наявне
казначейського обслуговування|наявне
Наявність приміщень для розміщення органів місцевого самоврядування|наявне
