name|Верхнянська територіальна громада
region|Івано-Франківська область
id|id210
link|http://decentralization.gov.ua/region/common/id/746
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015р.,  у тому числі дітей|10752
дошкільного віку|553
шкільного віку|1238
Кількість населених пунктів, що входять до складу спроможної територіальної громади|12
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|9 418 400
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|4 308 300
бюджету розвитку|34 000
базової дотації|5 076 100
реверсної дотації|0
Площа території спроможної територіальної громади, км2|14062
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі|36
загальноосвітніх навчальних закладів І-ІІІ ступеня|2
загальноосвітніх навчальних закладів І-ІІ ступеня|4
загальноосвітніх навчальних закладів І ступеня|1
дошкільних навчальних закладів|1
закладів позашкільної освіти|0
заклади культури|18
закладів фізичної культури|0
фельдшерсько-акушерських пунктів|8
амбулаторій, поліклінік|2
лікарень|0
станцій швидкої допомоги|0
Наявність приміщень щодо розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|є
пенсійного забезпечення|є
соціального захисту|є
пожежної безпеки|є
казначейського обслуговування|є
Наявність приміщень для розміщення органів місцевого самоврядування|є
