name|Новоукраїнська територіальна громада
region|Кіровоградська область
id|id225
link|http://decentralization.gov.ua/region/common/id/1160
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 р. у тому числі дітей|20227
дошкільного віку|951
шкільного віку|2285
Кількість населених пунктів, що входять до складу спроможної територіальної громади|12
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|22 504970
у тому числі:  сформованих відповідно до статті 64 Бюджетного  кодексу України  бюджету розвитку  базової дотації  реверсної дотації|22 504970  200000  -  -
Площа території спроможної територіальної громади, кв. кілометрів|348
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі|15
загальноосвітніх навчальних закладів І—III ступеня|-
загальноосвітніх навчальних закладів І-ІІ ступеня|-
загальноосвітніх навчальних закладів І ступеня|-
дошкільних навчальних закладів|4
закладів позашкільної освіти|-
закладів культури|11
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|-
амбулаторій, поліклінік|-
лікарень|-
лікарень|-
станцій швидкої допомоги|-
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|9
правоохоронної діяльності|4
реєстрації актів цивільного стану та майнових прав|1
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейського обслуговування|1
Наявність приміщень для розміщення органів місцевого самоврядування|4
