name|Іллінівська територіальна громада
region|Донецька область
id|id227
link|http://decentralization.gov.ua/region/common/id/1268
1|2
№ з/п|Найменування показника
Чисельність населення станом на 1 січня 2016 р.|10467
у тому числі дітей|
дошкільного віку|542
шкільного віку|1104
Кількість населених пунктів, що входять до складу спроможної територіальної громади|25
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|21685307
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|24131947
бюджету розвитку|
базової дотації|
реверсної дотації|-2446640
Площа території спроможної територіальної громади, кв. кілометрів|526.52
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|60
у тому числі|
загальноосвітніх навчальних закладів І-ІІІ ступеня|7
загальноосвітніх навчальних закладів І-ІІ ступеня|0
загальноосвітніх навчальних закладів І ступеня|2
дошкільних навчальних закладів|7
закладів позашкільної освіти|1
закладів культури|28
закладів фізичної культури|0
фельдшерсько-акушерських пунктів|10
амбулаторій, поліклінік|5
лікарень|0
станцій швидкої допомоги|0
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|Немає
реєстрації актів цивільного стану та майнових прав|Немає
пенсійного забезпечення|Немає
соціального захисту|є
пожежної безпеки|Немає
казначейського обслуговування|Немає
Наявність приміщень для розміщення органів місцевого самоврядування|є
