name|Вишевицька територіальна громада
region|Житомирська область
id|id240
link|http://decentralization.gov.ua/region/common/id/738
1|2
№  з/п|Показники
Кількість населення станом на 1 січня 2015 року, в тому числі|3228
дітей дошкільного віку|219
дітей шкільного віку|335
Кількість населених пунктів, що входять до спроможної територіальної громади|5
Обсяг доходів (розрахунковий) спроможної територіальної громади (гривень),  у тому числі|2718100
сформованих відповідно до статті 64 Бюджетного кодексу України|1777400
бюджету розвитку|-
базової дотації|940700
реверсної дотації|-
Площа території громади, кв. кілометрів|1005
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування,  у тому числі|19
загальноосвітніх навчальних закладів I—III ступеня|2
загальноосвітніх навчальних закладів I—II ступеня|2
загальноосвітніх навчальних закладівI ступеня|-
дошкільних навчальних закладів|1
закладів позашкільної освіти|-
закладів культури|9
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|3
амбулаторій, поліклінік|2
лікарень|-
станцій швидкої допомоги|-
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|1
реєстрації актів цивільного стану та майнових прав|1
пенсійного забезпечення|-
соціального захисту|-
пожежної безпеки|-
казначейського обслуговування|-
Наявність приміщень для розміщення органів місцевого самоврядування|1
