name|Народицька територіальна громада
region|Житомирська область
id|id253
link|http://decentralization.gov.ua/region/common/id/694
1|2
Найменування показника|Значення показників
Кількість населення станом на 1 січня 2015 року, в тому числі|9865
дітей дошкільного віку|311
дітей шкільного віку|1020
Кількість населених пунктів, що входять до спроможної територіальної громади|65
Обсяг доходів (розрахунковий) спроможної територіальної громади (гривень),  у тому числі|10692600
сформованих відповідно до статті 64 Бюджетного кодексу України|8602000
бюджету розвитку|0
базової дотації|2090600
реверсної дотації|0
Площа території громади, кв. кілометрів|1284
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі|105
загальноосвітніх навчальних закладів I—III ступеня|8
загальноосвітніх навчальних закладів I—II ступеня|4
загальноосвітніх навчальних закладів I ступеня|2
дошкільних навчальних закладів|14
закладів позашкільної освіти|1
закладів культури|49
закладів фізичної культури|1
фельдшерсько-акушерських пунктів|19
амбулаторій, поліклінік|5
лікарень|1
станцій швидкої допомоги|1
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|є
правоохоронної діяльності|є
реєстрації актів цивільного стану та майнових прав|є
пенсійного забезпечення|є
соціального захисту|є
пожежної безпеки|є
казначейського обслуговування|є
Наявність приміщень для розміщення органів місцевого самоврядування|є
