name|Потіївська територіальна громада
region|Житомирська область
id|id257
link|http://decentralization.gov.ua/region/common/id/700
1|2
Найменування показника|Значення показника
Кількість населення станом на 1 січня 2015 року, в тому числі|3618
дітей дошкільного віку|181
дітей шкільного віку|274
Кількість населених пунктів, що входять до спроможної територіальної громади|24
Обсяг доходів (розрахунковий) спроможної територіальної громади (гривень),  у тому числі|2740100
сформованих відповідно до статті 64 Бюджетного кодексу України|1397000
бюджету розвитку|0
базової дотації|1343100
реверсної дотації|0
Площа території громади, кв. кілометрів|25849
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі|32
загальноосвітніх навчальних закладів I—III ступеня|2
загальноосвітніх навчальних закладів I—II ступеня|1
загальноосвітніх навчальних закладівI ступеня|1
дошкільних навчальних закладів|2
закладів позашкільної освіти|1
закладів культури|16
закладів фізичної культури|0
фельдшерсько-акушерських пунктів|7
амбулаторій, поліклінік|1
лікарень|0
станцій швидкої допомоги|1
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|є
правоохоронної діяльності|є
реєстрації актів цивільного стану та майнових прав|є
пенсійного забезпечення|є
соціального захисту|є
пожежної безпеки|є
казначейського обслуговування|є
Наявність приміщень для розміщення органів місцевого самоврядування|є
