name|Тетерівська територіальна громада
region|Житомирська область
id|id260
link|http://decentralization.gov.ua/region/common/id/740
1|2
№ з/п|Найменування територіальних громад та населених пунктів, що входять до їх складу, із зазначенням адміністративного статусу
Буківська територіальна громада|797
с.Буки|432
с.Нова Рудня|173
с.Руденька|19
с.Тригір’я|173
Денишівська територіальна громада|1897
с.Дениші|1412
с.Михайлівка|194
с.Улянівка|291
Корчацька територіальна громада|667
с.Корчак|369
с.Катеринівка|87
с.Перлявка|211
Тетерівська територіальна громада|3041
с.Тетерівка|3041
