name|Калитянська територіальна громада
region|Київська область
id|id266
link|http://decentralization.gov.ua/region/common/id/747
1|2
№ п/п|Найменування показника
Чисельність населення станом на 1 січня 2015 р|12500
у тому числі дітей|
дошкільного віку|988
шкільного віку|1511
Кількість населених пунктів, що входять до складу  спроможної територіальної громади|6
|
Обсяг доходів (розрахунковий) спроможної територіальної громади, тис. гривень|10 131,3
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|10 109,1
бюджету розвитку|0
базової дотації|0
реверсної дотації|0
Площа території спроможної територіальної громади, кв. кілометрів|24564
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|25
у тому числі|
загальноосвітніх навчальних закладів I—III ступеня|4
загальноосвітніх навчальних закладів I—II ступеня|0
загальноосвітніх навчальних закладів I ступеня|0
дошкільних навчальних закладів|5
закладів позашкільної освіти|0
закладів культури|10
закладів фізичної культури|0
фельдшерсько-акушерських пунктів|3
амбулаторій, поліклінік|3
лікарень|0
станцій швидкої допомоги|0
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|Ні
реєстрації актів цивільного стану та майнових прав|Ні
пенсійного забезпечення|Ні
соціального захисту|Ні
пожежної безпеки|Ні
казначейського обслуговування|Ні
Наявність приміщень для розміщення органів місцевого самоврядування|ні
