name|Білокуракинська територіальна громада
region|Луганська область
id|id268
link|http://decentralization.gov.ua/region/common/id/391
1|2
Найменування показника|Значення показника
Чисельність населення станом на 01 січня 2015 р.|13843
у тому числі дітей|3190
дошкільного віку|802
шкільного віку|2388
Кількість населених пунктів, що входять до складу спроможної територіальної громади|24
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень у тому числі|15 911418
сформованих відповідно до статті 64 Бюджетного кодексу України|15 381318
бюджету розвитку|немає
[|базової дотації
реверсної дотації|немає
Площа території спроможної територіальної громади, кв. кілометрів.|788
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі|59
загальноосвітніх навчальних закладів І-ІП ступеня|4
загальноосвітніх навчальних закладів І-ІІ ступеня|8
загальноосвітніх навчальних закладів І ступеня|немає
дошкільних навчальних закладів|8
закладів позашкільної освіти|3
закладів культури|17
закладів фізичної культури|1
фельдшерсько-акушерських пунктів|15
амбулаторій, поліклінік|2
ї|лікарень
станцій швидкої допомоги|немає
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності      а|є
реєстрації актів цивільного стану та майнових прав|є
пенсійного забезпечення|є
соціального захисту|є
пожежної безпеки|є
казначейського обслуговування|є
Наявність приміщень для розміщення органів місцевого самоврядування|є
