name|Новопсковська територіальна громада
region|Луганська область
id|id269
link|http://decentralization.gov.ua/region/common/id/404
1|2
№|Найменування показника
Чисельність населення станом на 1 січня 2015 У тому числі дітей|12 294
|
дошкільного віку|417
шкільного віку|1248
Кількість населених пунктів, що входять до складу спроможної територіальної громади|6
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|14 182 893
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|14 182 893
бюджету розвитку|0
базової дотації|0
реверсної дотації|0
Площа території спроможної територіальної громади, кв. кілометрів|
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|27
у тому числі:  загальноосвітніх навчальних закладів І-ІІІ ступеня|
|
загальноосвітніх навчальних закладів II-І ступеня|3
загальноосвітніх навчальних закладів І ступеня|0
дошкільних навчальних закладів|4
закладів позашкільної освіти|2
закладів культури|8
закладів фізичної культури|2
фельдшерсько-акушерських пунктів|3
амбулаторій, поліклінік|2
лікарень|1
станцій швидкої допомоги|0
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|так
правоохоронної діяльності|так
реєстрації актів цивільного стану та майнових прав|так
пенсійного забезпечення|так
соціального захисту|так
пожежної безпеки|так
казначейського обслуговування|так
І Іаявність приміщень для розміщення органів місцевого самоврядування|так
