name|Бабинська територіальна громада
region|Львівська область
id|id272
link|http://decentralization.gov.ua/region/common/id/766
1|2
№ з/п|Найменування показника
Чисельність населення станом на 1 січня 2014 року|4302
у тому числі дітей|
дошкільного віку|247
шкільного віку|456
Кількість населених пунктів, що входять до складу спроможної територіальної громади|10
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|12009700
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|2253400
бюджету розвитку|-
базової дотації|1831400
реверсної дотації|
Площа території спроможної територіальної громади, кв. кілометрів|7793
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|21
у тому числі|
загальноосвітніх навчальних закладів І-ІІІ ступенів|2
загальноосвітніх навчальних закладів І-ІІ ступенів|2
загальноосвітніх навчальних закладів І ступеня|1
дошкільних навчальних закладів|-
закладів позашкільної освіти|-
закладів культури|8
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|7
амбулаторій, поліклінік|1
лікарень|-
станцій швидкої допомоги|-
Наявність приміщення для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|Так
реєстрації актів цивільного стану та майнових прав|Так
пенсійного забезпечення|Так
соціального захисту|Так
пожежної безпеки|Так
казначейського обслуговування|Так
Наявність приміщень для розміщення органів місцевого самоврядування|так
