name|Бісковицька територіальна громада
region|Львівська область
id|id273
link|http://decentralization.gov.ua/region/common/id/765
1|2
|
№ з/п|Найменування показника
Чисельність населення станом на 1 січня 2014 року|6191
у тому числі дітей|
дошкільного віку|466
шкільного віку|1017
Кількість населених пунктів, що входять до складу спроможної територіальної громади|8
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|15680700
у тому числі|
сформованих відповідно до статті 64 Бюджкетного кодексу України|2269900
бюджету розвитку|
базової дотації|2421300
реверсної дотації|
Площа території спроможної територіальної громади, кв. кілометрів|5502
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|16
у тому числі|
загальноосвітніх навчальних закладів І-ІІІ ступенів|3
загальноосвітніх навчальних закладів І-ІІ ступенів|-
загальноосвітніх навчальних закладів І ступеня|2
Дошкільних навчальних закладів|1
закладів позашкільної освіти|-
закладів культури|5
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|4
амбулаторій, поліклінік|-
Лікарень|1
станцій швидкої допомоги|-
Наявність приміщення для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|так
реєстрації актів цивільного стану та майнових прав|так
пенсійного забезпечення|так
соціального захисту|так
пожежної безпеки|так
казначейського обслуговування|так
Наявність приміщень для розміщення органів місцевого самоврядування|так
