name|Воле-Баранецька територіальна громада
region|Львівська область
id|id276
link|http://decentralization.gov.ua/region/common/id/764
1|2
№ з/п|Найменування показника
Чисельність населення станом на 1 січня 2014 року|5268
у тому числі дітей|
дошкільного віку|317
шкільного віку|473
Кількість населених пунктів, що входять до складу спроможної територіальної громади|15
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|12380100
у тому числі|
сформованих відповідно до статті 64 Бюджкетного кодексу України|1239700
бюджету розвитку|
базової дотації|2374200
реверсної дотації|
Площа території спроможної територіальної громади, кв. кілометрів|6943
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|23
у тому числі|
загальноосвітніх навчальних закладів І-ІІІ ступенів|2
загальноосвітніх навчальних закладів І-ІІ ступенів|4
загальноосвітніх навчальних закладів І ступеня|1
Дошкільних навчальних закладів|-
закладів позашкільної освіти|-
закладів культури|8
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|6
амбулаторій, поліклінік|1
Лікарень|1
станцій швидкої допомоги|-
Наявність приміщення для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|так
реєстрації актів цивільного стану та майнових прав|так
пенсійного забезпечення|так
соціального захисту|так
пожежної безпеки|так
казначейського обслуговування|так
Наявність приміщень для розміщення органів місцевого самоврядування|так
