name|Дублянська територіальна громада
region|Львівська область
id|id280
link|http://decentralization.gov.ua/region/common/id/760
1|2
№ з/п|Найменування показника
Чисельність населення станом на 1 січня 2014 року|3190
у тому числі дітей|
дошкільного віку|99
шкільного віку|213
Кількість населених пунктів, що входять до складу спроможної територіальної громади|7
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|7047500
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|1342000
бюджету розвитку|-
базової дотації|1300600
реверсної дотації|
Площа території спроможної територіальної громади, кв. кілометрів|6635
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|15
у тому числі|
загальноосвітніх навчальних закладів І-ІІІ ступенів|1
загальноосвітніх навчальних закладів І-ІІ ступенів|-
загальноосвітніх навчальних закладів І ступеня|1
дошкільних навчальних закладів|1
закладів позашкільної освіти|-
закладів культури|7
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|4
амбулаторій, поліклінік|-
лікарень|1
станцій швидкої допомоги|
Наявність приміщення для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|Так
реєстрації актів цивільного стану та майнових прав|Так
пенсійного забезпечення|Так
соціального захисту|Так
пожежної безпеки|Так
казначейського обслуговування|Так
Наявність приміщень для розміщення органів місцевого самоврядування|так
