name|Луківська територіальна громада
region|Львівська область
id|id283
link|http://decentralization.gov.ua/region/common/id/758
1|2
|
№ з/п|Найменування показника
Чисельність населення станом на 1 січня 2014 року|3928
у тому числі дітей|
дошкільного віку|299
шкільного віку|366
Кількість населених пунктів, що входять до складу спроможної територіальної громади|7
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|9541200
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|1155000
бюджету розвитку|154000
базової дотації|1751000
реверсної дотації|-
Площа території спроможної територіальної громади, кв. кілометрів|5468
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|17
у тому числі|
загальноосвітніх навчальних закладів І-ІІІ ступенів|1
загальноосвітніх навчальних закладів І-ІІ ступенів|2
загальноосвітніх навчальних закладів І ступеня|2
дошкільних навчальних закладів|-
закладів позашкільної освіти|-
закладів культури|7
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|4
амбулаторій, поліклінік|1
лікарень|-
станцій швидкої допомоги|-
Наявність приміщення для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|Так
реєстрації актів цивільного стану та майнових прав|Так
пенсійного забезпечення|Так
соціального захисту|Так
пожежної безпеки|Так
казначейського обслуговування|Так
Наявність приміщень для розміщення органів місцевого самоврядування|так
