name|Новокалинівська територіальна громада
region|Львівська область
id|id288
link|http://decentralization.gov.ua/region/common/id/756
1|2
№ з/п|Найменування показника
Чисельність населення станом на 1 січня 2014 року|7263
у тому числі дітей|
дошкільного віку|447
шкільного віку|658
Кількість населених пунктів, що входять до складу спроможної територіальної громади|8
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|22939400
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|9714600
бюджету розвитку|70000
базової дотації|1078000
реверсної дотації|
Площа території спроможної територіальної громади, кв. кілометрів|10908
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|
у тому числі|
загальноосвітніх навчальних закладів І-ІІІ ступенів|2
загальноосвітніх навчальних закладів І-ІІ ступенів|2
загальноосвітніх навчальних закладів І ступеня|-
дошкільних навчальних закладів|-
закладів позашкільної освіти|-
закладів культури|7
закладів фізичної культури|
фельдшерсько-акушерських пунктів|4
амбулаторій, поліклінік|3
лікарень|-
станцій швидкої допомоги|-
Наявність приміщення для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|Так
реєстрації актів цивільного стану та майнових прав|Так
пенсійного забезпечення|Так
соціального захисту|Так
пожежної безпеки|Так
казначейського обслуговування|Так
Наявність приміщень для розміщення органів місцевого самоврядування|так
