name|Ходорівська територіальна громада
region|Львівська область
id|id294
link|http://decentralization.gov.ua/region/common/id/1079
Найменування показника|Значення показника
у тому числі дітей|
дошкільного віку|1987
шкільного віку|2591
у тому числі|22800000
сформованих відповідно до статті 64 Бюджетного кодексу України|
бюджету розвитку|-
базової дотації|8277400
реверсної дотації|-
у тому числі|
загальноосвітніх навчальних закладів І-ІП ступеня|11
загальноосвітніх навчальних закладів НІ ступеня|14
загальноосвітніх навчальних закладів І ступеня|4
дошкільних навчальних закладів|4
закладів позашкільної освіти|1
закладів культури|70
закладів фізичної культури|1
фельдшерсько-акушерських пунктів|21
амбулаторій, поліклінік|З
лікарень|1
станцій швидкої допомоги|1
правоохоронної діяльності|-
реєстрації актів цивільного стану та майнових прав|-
пенсійного забезпечення|-
соціального захисту|-
пожежної безпеки|є
казначейського обслуговування|-
