name|Балтська територіальна громада
region|Одеська область
id|id317
link|http://decentralization.gov.ua/region/common/id/2
1|2
№ з/п|Найменування показника
Чисельність населення станом на 1 січня 2015 р.*|33151
у тому числі дітей|4039
дошкільного віку|978
шкільного віку|3061
Кількість населених пунктів, що входять до складу спроможної територіальної громади|28
Обсяг доходів (розрахунковий) спроможної територіальної громади, тисяч гривень|38 899,0
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|34 194,0
бюджету розвитку|810
базової дотації|4 624,0
реверсної дотації|00
Площа території спроможної територіальної громади, кв. кілометрів|8546
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|95
у тому числі|
загальноосвітніх навчальних закладів I—III ступеня|3
загальноосвітніх навчальних закладів I—II ступеня|4
загальноосвітніх навчальних закладів I ступеня|1
дошкільних навчальних закладів|15
закладів позашкільної освіти|3
закладів культури|48
закладів фізичної культури|1
фельдшерсько-акушерських пунктів|15
амбулаторій, поліклінік|4
лікарень|1
станцій швидкої допомоги|-
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|є
реєстрації актів цивільного стану та майнових прав|є
пенсійного забезпечення|є
соціального захисту|є
пожежної безпеки|є
казначейського обслуговування|є
Наявність приміщень для розміщення органів місцевого самоврядування|є
