name|Красносільська  територіальна громада
region|Одеська область
id|id322
link|http://decentralization.gov.ua/region/common/id/7
1|2
№ з/п|Найменування показника
Чисельність населення станом на 1 січня 2015 р.*|10890
у тому числі дітей|2080
дошкільного віку|914
шкільного віку|968
Кількість населених пунктів, що входять до складу спроможної територіальної громади|7
Обсяг доходів (розрахунковий) спроможної територіальної громади, тисяч гривень|20 358,3
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|18 091,0
бюджету розвитку|2 015,2
базової дотації|2521
реверсної дотації|00
Площа території спроможної територіальної громади, кв. кілометрів|2466
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|19
у тому числі|
загальноосвітніх навчальних закладів I—III ступеня|1
загальноосвітніх навчальних закладів I—II ступеня|3
загальноосвітніх навчальних закладів I ступеня|1
дошкільних навчальних закладів|2
закладів позашкільної освіти|-
закладів культури|5
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|4
амбулаторій, поліклінік|2
лікарень|-
станцій швидкої допомоги|1
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|є
реєстрації актів цивільного стану та майнових прав|є
пенсійного забезпечення|є
соціального захисту|є
пожежної безпеки|є
казначейського обслуговування|є
Наявність приміщень для розміщення органів місцевого самоврядування|є
