name|Маразліївська територіальна громада
region|Одеська область
id|id323
link|http://decentralization.gov.ua/region/common/id/8
1|2
№ з/п|Найменування показника
Чисельність населення станом на 1 січня 2015 р.*|6008
у тому числі дітей|960
дошкільного віку|430
шкільного віку|530
Кількість населених пунктів, що входять до складу спроможної територіальної громади|8
Обсяг доходів (розрахунковий) спроможної територіальної громади, тисяч гривень|7 317,7
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|5 776,9
бюджету розвитку|00
базової дотації|1 540,8
реверсної дотації|00
Площа території спроможної територіальної громади, кв. кілометрів|2521
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|25
у тому числі|
загальноосвітніх навчальних закладів I—III ступеня|3
загальноосвітніх навчальних закладів I—II ступеня|1
загальноосвітніх навчальних закладів I ступеня|-
дошкільних навчальних закладів|5
закладів позашкільної освіти|-
закладів культури|10
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|4
амбулаторій, поліклінік|1
лікарень|-
станцій швидкої допомоги|1
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|є
правоохоронної діяльності|є
реєстрації актів цивільного стану та майнових прав|є
пенсійного забезпечення|є
соціального захисту|є
пожежної безпеки|є
казначейського обслуговування|є
Наявність приміщень для розміщення органів місцевого самоврядування|є
