name|Бочечківська територіальна громада
region|Сумська область
id|id371
link|http://decentralization.gov.ua/region/common/id/1363
1|2
Поряд-  ковий номер|Найменування територіальних громад та населених пунктів, що входять до їх складу, із зазначенням адміністративного статусу
Бочечківська ОТГ|4892
Бочечківська сільська рада|1223
с.Бочечки|1223
Козацька сільська рада|1650
с.Козацьке|1419
с.Вовчик|15
с.Новомутин|210
с.Щекинське|6
Сахнівська сільська рада|712
с.Сахни|428
с.Бондарі|243
с.Савойське|41
Хижківська сільська рада|402
с.Хижки|355
с.Прилужжя|47
