name|Дружбівська територіальна громада
region|Сумська область
id|id374
link|http://decentralization.gov.ua/region/common/id/94
"|"
"|"
Чисельність населення станом на 1 січня 2016 р.,  у тому числі дітей|5560
дошкільного віку|391
шкільного віку|502
Кількість населених пунктів, що входять до складу спроможної територіальної громади|12
Обсяг доходів (розрахунковий) спроможної територіальної громади  Центр громади - гривень, у тому числі|19483800
сформованих відповідно до статті 64 Бюджетного кодексу України|7706600
бюджету розвитку|-
базової дотації|175700
реверсної дотації|-
Площа території спроможної територіальної громади  Центр громади - кв. км|12613
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі|19
загальноосвітніх навчальних закладів I-III ступенів|2
загальноосвітніх навчальних закладів I-II ступенів|1
загальноосвітніх навчальних закладівI ступеня|-
дошкільних навчальних закладів|3
закладів позашкільної освіти|-
закладів культури|9
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|2
амбулаторій, поліклінік|-
лікарень|1
станцій швидкої допомоги|1
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|Є
реєстрації актів цивільного стану та майнових прав|Є
пенсійного забезпечення|Є
соціального захисту|Є
пожежної безпеки|Є
казначейського обслуговування|Є
Наявність приміщень для розміщення органів місцевого самоврядування|Є
